epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,878.454,1.37245,1.08215,1.2091,0.7488,0.45862,0.5256,0.33306,1.57151,1.52143,1.31077,0.0011684,0.0011684,0.0011684
44,895.74,1.18839,0.90161,1.1108,0.70322,0.43077,0.45744,0.2936,1.65494,1.80073,1.34007,0.0011486,0.0011486,0.0011486
45,914.743,1.15126,0.88406,1.05003,0.62721,0.46593,0.48932,0.28014,1.72524,1.73981,1.32328,0.0011288,0.0011288,0.0011288
46,937.236,1.15119,0.84623,1.07219,0.72449,0.49231,0.52538,0.32821,1.53224,1.59054,1.2783,0.001109,0.001109,0.001109
47,959.086,1.18174,0.91013,1.08992,0.76967,0.5141,0.55248,0.3497,1.49797,1.50054,1.29422,0.0010892,0.0010892,0.0010892
48,981.813,1.17803,0.98902,1.10223,0.83603,0.5,0.59767,0.38051,1.50595,1.40795,1.3224,0.0010694,0.0010694,0.0010694
49,1001.86,1.13349,0.86385,1.08343,0.79893,0.55019,0.61331,0.4046,1.42305,1.29842,1.25416,0.0010496,0.0010496,0.0010496
50,1020.73,1.19704,0.8964,1.15521,0.72969,0.53846,0.60454,0.38517,1.45809,1.39884,1.24092,0.0010298,0.0010298,0.0010298
51,1037.27,1.1525,0.87854,1.07023,0.77983,0.49231,0.56696,0.35037,1.55059,1.49223,1.30606,0.00101,0.00101,0.00101
52,1057.57,1.19257,0.98989,1.08836,0.8201,0.5,0.57462,0.36209,1.60666,1.39583,1.3348,0.0009902,0.0009902,0.0009902
53,1082.47,1.10585,0.95566,1.07489,0.74593,0.54615,0.58843,0.3719,1.51929,1.40923,1.27488,0.0009704,0.0009704,0.0009704
54,1103.03,1.02406,0.78337,1.01625,0.73069,0.54615,0.58863,0.36378,1.52874,1.38765,1.25514,0.0009506,0.0009506,0.0009506
55,1125.81,1.03027,0.84549,1.00565,0.73864,0.46923,0.55144,0.33714,1.57165,1.44875,1.2481,0.0009308,0.0009308,0.0009308
